source_id,title,filename,parent_id,source_manual
43,Medical Service _ Non-Immunization,Index,,
44,Protocol for Non-Travel Immunization or Medication Appointment,Non-Travel Immun.doc,43,
45,Preparation and Procedure for Self Injection,Self-Injection.doc,43,
46,Instructions for Self Injection Handout,Instruction for Self-Injection.doc,43,
47,Instructions for Self Injection Handout ,PDF,43,
48,Travel Care,Index,,
49,International Travel Care Description,Inter Travel Desc.doc,48,
50,Travel Insurance/Consumer Reports Travel Letter Resources,PDF,48,
51,Travel Clinic Orientation,Travel Clinic Orient.doc,48,
52,Check-in for Travel Planning Appointments,Check-in for Appt.doc,48,
53,Scheduling Travel Planning Appointments,Travel Plan Appts.doc,48,
54,Welcome to International Travel Care flyer,International Travel Care.doc,48,
55,International Travel Care Patient History Form,Travel Care History.doc,48,
56,Immunization Summary Worksheet,International Immunization Summary Worksheet10#2.doc,48,
57,Recommendations,Travel Recommendations81511.doc,48,
58,Client Flow Chart,PDF,48,
59,Scheduling Travel Follow-up Appointments,Follow Up Appt.doc,48,
60,CDC Vaccine Storage & Handling Guide,PDF,48,
61,Immunizations,Index,,
62,Summary of Recommendations for Adult Immunization,PDF,61,
63,Recommended Childhood & Adolescent Immunization Schedule,PDF,61,
64,Immunization Facilities,skip - Immunization Facilities Referrals.doc,61,
65,Vaccine Manufacturer Contact Information,PDF,61,
66,Fees,Index,,
67,California Immunization Record,PDF,66,
68,International Certificate of Vaccination,PDF,66,
69,Immunization Record,Immunization Record2.DOC,66,
70,Administration of Routine Immunizations,Admn Routine Immun.doc,66,
71,_Practice e-Consultant”: Adult Immunization,PDF,66,
72,Screening Questions for Adult Immunization,Index,,
73,Screening Questions for Adult Immunization,PDF,72,
74,VAERS,Index,,
75,Department of Health and Human Services VAERS Letter,PDF,74,
76,Table of Reportable Events Following Vaccination,PDF,74,
77,VAERS Reporting Form ,PDf,74,
78,VAERS Response Letter,PDF,74,
79,Informed Consent Forms for Vaccines,Consent Form.doc,74,Used in Multiple Manuals
80,Chickenpox,Index,,
81,Chickenpox Vaccine _ What You Need to Know,PDF,80,
82,Chickenpox: Questions and Answers,PDF,80,
83,Varicella: Ask the Experts,PDF,80,
84,Consent for Chickenpox Vaccination,Chicken Pox Vaccination.doc,80,Used in Multiple Manuals
85,Standing Order for Administering Varicella (Chickenpox) Vaccine to Adults,Standing Orders for Varicella (chickenpox) Vaccine.doc,80,Used in Multiple Manuals
86,Shingles,Index,,
87,Shingles Vaccine _ What You Need to Know,PDF,86,
88,Shingles: Questions and Answers,PDF,86,
89,Consent Form for Shingles Vaccination,Shingles.doc,86,Used in Multiple Manuals
90,Stranding Order for Administering Zoster Vaccine to Adults ,Standing Orders for Zoster Vaccine,86,Used in Multiple Manuals
91,Hepatitis A,Index,,
92,Hepatitis A Vaccine _ What You Need to Know,PDF,91,
93,Hepatitis A or Hepatitis A/Hepatitis B Vaccination Flowchart,PDF,91,
94,Hepatitis A: Questions and Answers,PDF,91,
95,Consent Form for Hepatitis A Vaccination ,Hepatitis A Vaccination.DOC,91,Used in Multiple Manuals
96,Standing Order for Administering Hepatitis A Vaccine to Adults,Standing Orders for Hepatitis A Vaccine.doc,91,Used in Multiple Manuals
97,Hepatitis B,Index,,
98,Hepatitis B Vaccine _ What You Need to Know,PDF,97,
99,Hepatitis B Vaccination Flowchart,PDF,97,
100,Hepatitis B: Questions and Answers,PDF,97,
101,Hepatitis B: Ask the Experts,PDF,97,
102,Hepatitis B Screening,Clinician Guide for Hepatitis B Screening.doc,97,Primary & Urgent Care
103,Consent Form for Hepatitis B Vaccination,Hepatitis B Vaccination.doc,97,Used in Multiple Manuals
104,Standing Order for Administering Hepatitis B Vaccine to Adults,Standing Orders for Hepatitis B Vaccine.doc,97,Used in Multiple Manuals
105,Influenza,Index,,
106,Influenza Vaccine _ What You Need to Know,PDF,105,
107,Influenza: Questions and Answers,PDF,105,
108,Influenza: Ask the Experts,PDF,105,
109,"""How to Administer Intramuscular, Intradermal, and Intranasal Influenza Vaccines""",PDF,105,
110,Consent Form for Influenza Vaccination,Influenza 2013-14GSKJ5G53.doc,105,Used in Multiple Manuals
111,Standing Order for Administering Influenza Vaccine to Adults,Standing orders for flu vaccine2011-12.rtf,105,Used in Multiple Manuals
112,HPV,Index,,
113,HPV (Human Papillomavirus) Vaccine _ What You Need to Know,PDF,112,
114,HPV: Questions and Answers,PDF,112,
115,HPV: Ask the Experts,PDF,112,
116,Consent for Gardasil,Gardasil.doc,112,Used in Multiple Manuals
117,Standing Order for Administering Human Papillomavirus Vaccine to Adults  ,Standing Orders for Human Papillomavirus Vaccine.doc,112,Used in Multiple Manuals
118,Japanese Encephalitis,Index,,
119,Japanese Encephalitis _ What You Need to Know,PDF,118,
120,Japanese Encephalitis Vaccination Flowchart,PDF,118,
121,Japanese Encephalitis Travax Medical Summary,PDF,118,
122,CDC Recommendations for Use of a Booster Dose of Inactivated Vero Cell Culture-Derived Japanese Encephalitis Vaccine,PDf,118,
123,CDC Update on Japanese Encephalitis Vaccine for Children,PDF,118,
124,Consent Form for Japanese Encephalitis Virus Vaccination  ,Japanese Encephalitis (IXIARO).DOC,118,Used in Multiple Manuals
125,Standing Order for Administering Japanese Encephalitis Vaccine to Adults,Standing Orders for Ixiaro (Japanese Encephalitis Vaccine).doc,118,Used in Multiple Manuals
126,MMR,Index,,
127,"""Measles, Mumps and Rubella Vaccines _ What You Need to Know""",PDF,126,
128,MMR Vaccination Flowchart,PDF,126,
129,Measles: Questions and Answers,PDF,126,
130,Mumps: Questions and Answers,PDF,126,
131,Mumps: Ask the Experts,PDF,126,
132,Consent form for Measles Mumps Rubella Vaccination,Measles mumps rubella.doc,126,Used in Multiple Manuals
133,"""Standing Order for Measles, Mumps & Rubella Vaccine to Adults""","""Standing Orders for Measles, Mumps, Rubella Vaccine.doc""",126,Used in Multiple Manuals
134,Malaria,Index,,
135,Malaria Prophylaxis Flowchart,PDF,134,
136,Malaria Travalax Medical Summary,PDF,134,
137,Malaria Drugs: Long-Term Use,PDF,134,
138,Malaria Drugs: Prophylaxis,PDF,134,
139,CDC Malaria Information ,PDF,134,
140,CDC Malaria FAQ,PDF,134,
141,Coartem Product Information,PDF,134,
142,Protocol for Primoquine use for Terminal Prophylaxis of Malaria,Primaquine Malaria Protoco2l.doc,134,
143,RN Standing Order for Anti-Malarial Prophylaxis,RN Standing Order for Anti-malarial Prophylaxis.doc,134,
144,Meningococcal,Index,,
145,Meningococcal Vaccine _ What You Need to Know,PDF,144,
146,Meningococcal Vaccination flowchart,PDF,144,
147,Meningococcal: Questions and Answers,PDF,144,
148,Meningococcal: Ask the Experts,PDF,144,
149,Consent Form for Menactra Meningococcal Vaccination,MenveoMeningococcal Vaccine.doc,144,Used in Multiple Manuals
150,Standing Order for Administering Meningococcal Vaccine to Adults,Standing Orders for Meningococcal Vaccine.doc,144,Used in Multiple Manuals
151,Pneumococcal ,Index,,
152,Pneumococcal Polysaccharide Vaccine _ What You Need to Know,PDF,151,
153,PPSV: CDC Answers Your Questions,PDF,151,
154,PPSV: Ask the Experts,PDF,151,
155,Pneumovax Information,PDF,151,
156,Consent Form for Pneumovax Vaccination,Pneumovax.doc,151,Used in Multiple Manuals
157,Standing Order for Administering Pneumococcal Vaccine to Adults,Standing Orders for Pneumococcal (PPSV23 and PCV13)Vaccine to adults.doc,151,Used in Multiple Manuals
158,Polio,Index,,
159,Polio Vaccine _ What You Need to Know,PDF,158,
160,Polio Vaccination Flowchart,PDF,158,
161,Polio: Questions and Answers,PDF,158,
162,Polio: Ask the Experts,PDF,158,
163,Consent Form for Polio Vaccine ,Polio Vaccine.DOC,158,Used in Multiple Manuals
164,Standing Order for Administering Polio (IPV) Vaccine to Adults,Standing Orders for IVP Vaccine.doc,158,Used in Multiple Manuals
165,Rabies,Index,,
166,Rabies Vaccine _ What You Need to Know,PDF,165,
167,Rabies Preexposure Primary Vaccination Flowchart,PDF,165,
168,Rabies: Questions and Answers,PDF,165,
169,Rabies: Ask the Experts,PDF,165,
170,Rabies Vaccine Response _ Lab Testing,Rabies Vaccine Response Lab Testing.doc,165,
171,Rabies Vaccine RabAvert Product Information,PDF,165,
172,Rabies Vaccine Imovax Product Information,PDF,165,
173,Rabies Vaccine Administration,rabies Vaccine Administration.doc,165,
174,MMWR Compendium of Animal Rabies Prevention and Control,PDF,165,
175,Consent for Pre-Exposure Rabies Vaccination (Imovax _ IM),PDF,165,Used in Multiple Manuals
176,Consent Form for Pre-Exposure Rabies Vaccination (RabAvert-IM),PDF,165,Used in Multiple Manuals
177,Consent for Post-Exposure Rabies Vaccination,PDF,165,Used in Multiple Manuals
178,Standing Orders for Administering Pre-Exposure Rabies Vaccine to Adults,Standing Orders for Rabies Vaccine.doc,165,Used in Multiple Manuals
179,Rubella,Index,,
180,Rubella: Questions and Answers,PDF,179,
181,Tetanus,Index,,
182,Tetanus and Diphtheria Vaccine (Td) _ What You Need to Know,PDF,181,
183,Tetanus: Questions & Answers,PDF,181,
184,Pertussis: Questions & Answers,PDF,181,
185,Diphtheria: Questions & Answers,PDF,181,
186,"""DTaP, Tdap, Td: Ask the Experts""",PDF,181,
187,Consent for Tdap (Boostrix),Boostrix (Tdap)72013.doc,181,Used in Multiple Manuals
188,Consent for Tetanus and Diphtheria Toxoids-Td Vaccine for Adults,Tetanus Diptheria.doc,181,Used in Multiple Manuals
189,Standing Orders for Administering Tetanus-Diphtheria Toxoids & Pertussis Vaccine (Td/Tdap) to Adults,Standing Orders for Td-Tdap Vaccine911.doc,181,Used in Multiple Manuals
190,Typhoid,Index,,
191,Typhoid Vaccine _ What You Need to Know,PDF,190,
192,Typhoid Vaccination Flowchart,PDF,190,
193,Travax Literature Watch _ Malarone-TM Given with Oral Typhoid and Oral Cholera Vaccines,PDF,190,
194,Consent for Injectable Typhoid Vaccine (ViCPS),Injectable Typhoid Vaccine (ViCPS).DOC,190,Used in Multiple Manuals
195,Standing Order for Oral Typhoid Vaccine (Vivotif Berna),PDF,190,Used in Multiple Manuals
196,Standing Order for Administering Injectable Typhoid Vaccine (ViCPS) to Adults,Standing Order for Injectable Typhoid Vaccine.doc,190,Used in Multiple Manuals
197,Yellow Fever,Index,,
198,Yellow Fever Vaccine _ What You Need to Know,PDF,197,
199,Yellow Fever Vaccination Flowchart,PDF,197,
200,MMWR Yellow Fever Vaccine Recommendations and Reports,PDF,197,
201,Transfusion-Related Transmission of Yellow Fever Vaccine Virus,PDF,197,
202,Yellow Fever Update,PDF,197,
203,California Yellow Fever Vaccination Center (CYFVC) Designates,PDF,197,
204,Yellow Fever Vaccination Log,PDF,197,
205,Medical Contraindication Sample Letter,PDF,197,
206,Consent Form for Yellow Fever Vaccine,Yellow Fever.DOC,197,Used in Multiple Manuals
207,Standing Order for Administering Yellow Fever Vaccine to Adults,Standing Orders for yELLOW fEVER Vaccine.doc,197,Used in Multiple Manuals
208,Advice and Medications,Index,,
209,Traveler's Diarrhea,Diarrhea.doc,208,
210,Traveler's Diarrhea Flowchart,PDF,208,
211,Traveler's Diarrhea Travax Medical Summary,PDF,208,
212,Food and Beverage Precautions _ Traveler Information,PDF,208,
213,Insect Precautions _ Traveler Information,PDF,208,
214,How to Prevent Giardiasis (and Other Nasties in Contaminated Water),Giardiasis - how to prevent.doc,208,
215,Contact Lens Care for Traveling Abroad,PDF,208,
216,RN Standing Order for Azythromicin,standingorderAzythromycin.doc,208,Used in Multiple Manuals
217,RN Standing Order for Ciproflaxin,standingorderCipro.doc,208,Used in Multiple Manuals
218,Guidelines for Vaccinating Pregnant Women,Index,,
219,Guidelines for Vaccinating Pregnant Women,PDF,218,
220,Pregnant Traveler Travax Medical Summary,PDF,218,
221,Over-the-Counter Medication,Index,,
222,Over-the-Counter Medications: A Traveler's First-Aid Kit,Over the Counter Medications.doc,221,
223,Altitude Sickness,Index,,
224,Altitude Sickness,Altitude Sickness.doc,223,
225,Altitude Sickness Travax Medical Summary,PDF,223,
226,Standing Order for Acetazolamide (Diamox) for Altitude Sickness,Altitude Sickness.doc,223,
227,Assessment of Travelers Who Return Home Ill,Index,,
228,Assessment of Travelers Who Return Home Ill,PDf,227,
229,Postinfections Irritable Bowel Syndrome,PDf,227,
230,Spectrum of Disease and Relation to Place of Exposure among Ill Returned Travelers,PDf,227,
231,The Burden of Illness in International Travelers,PDf,227,
232,National Geographic Malaria Information,PDf,227,
233,Medication Information,PDf,227,
